feature
UNMAPPED
UNINTEGRATED
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation"
"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation"
1CMET2-PWY: folate transformations III (E. coli)
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast
ANAEROFRUCAT-PWY: homolactic fermentation
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis
ARGININE-SYN4-PWY: L-ornithine biosynthesis II
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)
ARO-PWY: chorismate biosynthesis I
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"
CITRULBIO-PWY: L-citrulline biosynthesis
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)
COA-PWY: coenzyme A biosynthesis I (prokaryotic)
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I
COLANSYN-PWY: colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis
CRNFORCAT-PWY: creatinine degradation I
DAPLYSINESYN-PWY: L-lysine biosynthesis I
DENITRIFICATION-PWY: nitrate reduction I (denitrification)
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis
FAO-PWY: fatty acid &beta;-oxidation I (generic)
FASYN-ELONG-PWY: fatty acid elongation -- saturated
FERMENTATION-PWY: mixed acid fermentation
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage
GALACTARDEG-PWY: D-galactarate degradation I
GALACTUROCAT-PWY: D-galacturonate degradation I
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
GLUCARDEG-PWY: D-glucarate degradation I
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY: gluconeogenesis I
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation
GLUDEG-I-PWY: GABA shunt
GLUTORN-PWY: L-ornithine biosynthesis I
GLYCOCAT-PWY: glycogen degradation I
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)
GLYOXYLATE-BYPASS: glyoxylate cycle
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)
HISDEG-PWY: L-histidine degradation I
HISTSYN-PWY: L-histidine biosynthesis
HOMOSER-METSYN-PWY: L-methionine biosynthesis I
HSERMETANA-PWY: L-methionine biosynthesis III
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)
KETOGLUCONMET-PWY: ketogluconate metabolism
LACTOSECAT-PWY: lactose and galactose degradation I
LIPASYN-PWY: phospholipases
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis
METHGLYUT-PWY: superpathway of methylglyoxal degradation
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)
