feature,direction,phase_compared,pooled
RPL7A,down,post_vs_pre_pooled,-1.1079596409705
RPS24,down,post_vs_pre_pooled,-1.13723100293744
RPLP2,down,post_vs_pre_pooled,-1.93825107734075
RPL27A,down,post_vs_pre_pooled,-1.60485758364284
RPS13,down,post_vs_pre_pooled,-1.37961422748327
FAU,down,post_vs_pre_pooled,-1.42936485962953
RPS3,down,post_vs_pre_pooled,-1.66275525659545
RPS25,down,post_vs_pre_pooled,-1.47803474528051
RPS26,down,post_vs_pre_pooled,-1.30984909059971
RPL41,down,post_vs_pre_pooled,-2.16202185580547
RPL21,down,post_vs_pre_pooled,-1.52568426808862
TPT1,down,post_vs_pre_pooled,-1.4540798692335
RPS29,down,post_vs_pre_pooled,-1.67378142999274
B2M,down,post_vs_pre_pooled,-1.27352182960329
RPLP1,down,post_vs_pre_pooled,-1.85921461922197
RPS17,down,post_vs_pre_pooled,-1.38637227293147
RPS2,down,post_vs_pre_pooled,-1.75889824707589
RPS15A,down,post_vs_pre_pooled,-1.66835364208956
PLCG2,up,post_vs_pre_pooled,2.11797876468613
RPL13,down,post_vs_pre_pooled,-2.04329753642015
RPL26,down,post_vs_pre_pooled,-1.32204510205322
RPL23A,down,post_vs_pre_pooled,-1.41624386997893
RPL23,down,post_vs_pre_pooled,-1.34606978903772
RPL19,down,post_vs_pre_pooled,-1.76479612535248
RPL38,down,post_vs_pre_pooled,-1.0611237273042
RPL17,down,post_vs_pre_pooled,-1.3497939597099
RPS15,down,post_vs_pre_pooled,-1.66871799037862
RPL36,down,post_vs_pre_pooled,-1.30531243224825
RPS28,down,post_vs_pre_pooled,-1.73973545572987
RPL18A,down,post_vs_pre_pooled,-1.67493622667341
UBA52,down,post_vs_pre_pooled,-1.13365645279256
RPS16,down,post_vs_pre_pooled,-1.80876316244208
RPS19,down,post_vs_pre_pooled,-1.68334721377621
RPL18,down,post_vs_pre_pooled,-1.55568940067192
RPL13A,down,post_vs_pre_pooled,-1.97612923463406
RPS11,down,post_vs_pre_pooled,-1.77130957889018
RPS9,down,post_vs_pre_pooled,-1.27648334144191
RPL28,down,post_vs_pre_pooled,-1.98829823962463
RPS5,down,post_vs_pre_pooled,-1.2245441195333
RPS21,down,post_vs_pre_pooled,-1.56130316772387
RPL3,down,post_vs_pre_pooled,-1.48372335536957
TMSB4X,down,post_vs_pre_pooled,-1.18611508525218
RPS4X,down,post_vs_pre_pooled,-1.50462343273105
RPL36A,down,post_vs_pre_pooled,-1.22292404630318
RPL39,down,post_vs_pre_pooled,-1.68353477532436
RPL10,down,post_vs_pre_pooled,-2.04907580963007
AC105402.3,up,post_vs_pre_pooled,1.79639593787001
RPL11,down,post_vs_pre_pooled,-1.54179844425489
RPS27,down,post_vs_pre_pooled,-1.94655290607499
RPS27A,down,post_vs_pre_pooled,-1.72017623096793
RPL37A,down,post_vs_pre_pooled,-1.53832214354184
MTRNR2L12,up,post_vs_pre_pooled,2.33267656306606
RPL34,down,post_vs_pre_pooled,-1.55445402777114
RPS14,down,post_vs_pre_pooled,-1.87886767142281
RPS18,down,post_vs_pre_pooled,-1.93265135285226
RPS12,down,post_vs_pre_pooled,-1.90586241560392
RPL30,down,post_vs_pre_pooled,-1.75575040633034
RPLP2,down,post_vs_pre_pooled,-1.82611813050668
RPL27A,down,post_vs_pre_pooled,-1.50785962389391
RPS3,down,post_vs_pre_pooled,-1.59156951575868
RPL41,down,post_vs_pre_pooled,-1.99948495460553
RPS29,down,post_vs_pre_pooled,-1.56161418205621
B2M,down,post_vs_pre_pooled,-1.46805262040247
RPLP1,down,post_vs_pre_pooled,-1.75680758227101
RPS2,down,post_vs_pre_pooled,-1.70248080115163
RPS15A,down,post_vs_pre_pooled,-1.54525503632541
PLCG2,up,post_vs_pre_pooled,2.08154864042358
RPL13,down,post_vs_pre_pooled,-1.97101373603244
RPL19,down,post_vs_pre_pooled,-1.61388262374057
RPS15,down,post_vs_pre_pooled,-1.59098637453189
RPS28,down,post_vs_pre_pooled,-1.6253832132646
RPL18A,down,post_vs_pre_pooled,-1.5549653355788
RPS16,down,post_vs_pre_pooled,-1.70165906266794
RPS19,down,post_vs_pre_pooled,-1.64788788435588
RPL18,down,post_vs_pre_pooled,-1.47471806199804
RPL13A,down,post_vs_pre_pooled,-1.79831851109025
RPS11,down,post_vs_pre_pooled,-1.53972204879616
RPL28,down,post_vs_pre_pooled,-1.89403089789013
RPL39,down,post_vs_pre_pooled,-1.54005019712955
RPL10,down,post_vs_pre_pooled,-1.84294333292504
RPS23,down,post_vs_pre_pooled,-1.49235350957988
RPL3,down,post_vs_pre_pooled,-1.44334209407999
RPL32,down,post_vs_pre_pooled,-1.44615389077208
FAU,down,post_vs_pre_pooled,-1.36618227150718
RPS20,down,post_vs_pre_pooled,-1.37446086301999
RPL21,down,post_vs_pre_pooled,-1.41734194496877
RPL23A,down,post_vs_pre_pooled,-1.35564038695118
RPS21,down,post_vs_pre_pooled,-1.44266953873415
EEF1A1,down,post_vs_pre_pooled,-1.3971498477219
RPL17,down,post_vs_pre_pooled,-1.32016623387245
RPS25,down,post_vs_pre_pooled,-1.33599093036832
RPL37,down,post_vs_pre_pooled,-1.36590594337215
TPT1,down,post_vs_pre_pooled,-1.3077626650186
RPS4X,down,post_vs_pre_pooled,-1.34133696913262
RPS6,down,post_vs_pre_pooled,-1.33550201622721
RPL9,down,post_vs_pre_pooled,-1.28370547180826
TMSB4X,down,post_vs_pre_pooled,-1.38650544572401
RPS8,down,post_vs_pre_pooled,-1.26679762889052
RPS17,down,post_vs_pre_pooled,-1.27201810891368
RPL35A,down,post_vs_pre_pooled,-1.25640942660627
RPS13,down,post_vs_pre_pooled,-1.26471238252923
RPS3A,down,post_vs_pre_pooled,-1.26280064837193
RPL23,down,post_vs_pre_pooled,-1.23487899553379
RPS26,down,post_vs_pre_pooled,-1.20373325848613
RPS9,down,post_vs_pre_pooled,-1.20957590646726
RPL36,down,post_vs_pre_pooled,-1.19963613973844
RPL26,down,post_vs_pre_pooled,-1.16370398820982
RPL15,down,post_vs_pre_pooled,-1.15271809830003
RPS24,down,post_vs_pre_pooled,-1.10977475898564
RPS5,down,post_vs_pre_pooled,-1.12670711439521
HLA-B,down,post_vs_pre_pooled,-1.06709945420242
RPS7,down,post_vs_pre_pooled,-1.09670321128224
RPSA,down,post_vs_pre_pooled,-1.08972672178319
RPL29,down,post_vs_pre_pooled,-1.09527454366238
HLA-C,down,post_vs_pre_pooled,-1.14364005183962
RPL12,down,post_vs_pre_pooled,-1.04015989051727
RPL36A,down,post_vs_pre_pooled,-1.09681954282021
UBA52,down,post_vs_pre_pooled,-1.03929141123976
TMSB10,down,post_vs_pre_pooled,-1.07722729103098
RPL31,down,post_vs_pre_pooled,-1.0329568813047
RPL7,down,post_vs_pre_pooled,-1.01259827159984
MBNL1,up,post_vs_pre_pooled,1.02984880275527
RPL10A,down,post_vs_pre_pooled,-1.02732248690091
EIF1,down,post_vs_pre_pooled,-1.00369991765228
NKG7,down,post_vs_pre_pooled,-1.16688131676884
GNLY,down,post_vs_pre_pooled,-1.16230872242523
PLCG2,up,post_vs_pre_pooled,2.04113985126088
RPL41,down,post_vs_pre_pooled,-1.95379669357972
B2M,down,post_vs_pre_pooled,-1.68014310937218
RPL13,down,post_vs_pre_pooled,-1.90274023444436
RPS18,down,post_vs_pre_pooled,-1.78782187953359
RPS27,down,post_vs_pre_pooled,-1.73819036740203
RPL10,down,post_vs_pre_pooled,-1.79417989815507
RPS14,down,post_vs_pre_pooled,-1.75363198448494
RPL13A,down,post_vs_pre_pooled,-1.70660230890171
RPL28,down,post_vs_pre_pooled,-1.78700717009796
RPLP1,down,post_vs_pre_pooled,-1.78689241548122
RPS16,down,post_vs_pre_pooled,-1.64734576414511
RPS2,down,post_vs_pre_pooled,-1.68341149807895
RPS12,down,post_vs_pre_pooled,-1.68315496746867
RPLP2,down,post_vs_pre_pooled,-1.63633028403394
RPS27A,down,post_vs_pre_pooled,-1.58821754625413
RPS15,down,post_vs_pre_pooled,-1.60698829948737
RPL19,down,post_vs_pre_pooled,-1.60709667519694
RPL3,down,post_vs_pre_pooled,-1.59074018118719
RPS11,down,post_vs_pre_pooled,-1.54491962517526
RPS29,down,post_vs_pre_pooled,-1.51552401026406
RPS28,down,post_vs_pre_pooled,-1.5646625505638
RPL30,down,post_vs_pre_pooled,-1.52410231573465
RPS19,down,post_vs_pre_pooled,-1.53385499213911
RPL18A,down,post_vs_pre_pooled,-1.51325509520322
