feature,direction,phase_compared,pooled
SNCA,up,post_vs_pre_pooled,1.70117978670292
ARPC4,up,post_vs_pre_pooled,1.46311856560836
GCLC,up,post_vs_pre_pooled,1.0885450351762
CFHR3,down,post_vs_pre_pooled,-1.02719318101656
YWHAE,up,post_vs_pre_pooled,1.2468168188513
YWHAB,up,post_vs_pre_pooled,1.28835294447762
PRKAR1A,up,post_vs_pre_pooled,1.02660856844484
APOC3,down,post_vs_pre_pooled,-1.04756661855235
CDC42,up,post_vs_pre_pooled,1.47881019929573
RAB8B,up,post_vs_pre_pooled,1.07057942051912
TAOK3,up,post_vs_pre_pooled,1.07222838175621
MIF,up,post_vs_pre_pooled,1.29260530218012
GP1BA,up,post_vs_pre_pooled,2.23281998408982
HBD.1,up,post_vs_pre_pooled,1.29561665139672
ABRACL,up,post_vs_pre_pooled,1.20324847662536
HLA-C.1,up,post_vs_pre_pooled,1.43312925420717
RAB13,up,post_vs_pre_pooled,1.30893688959498
TPI1,up,post_vs_pre_pooled,1.20107977572419
DBNL,up,post_vs_pre_pooled,1.17608595898307
KRAS,up,post_vs_pre_pooled,1.17132771988729
RHOC,up,post_vs_pre_pooled,1.74387349774199
RHOA,up,post_vs_pre_pooled,1.047765134357
GLIPR2,up,post_vs_pre_pooled,1.26243772523158
